Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,nbh_name
501646000,4600000,0,3018,Row_End,4974,3,5,5,3,1,7,R1,N,RE,G,10,1890,Beacon Hill
400444000,4300000,0,3981,Row_Middle,4212,4,5,3,1,1,4,R1,Y,RM,M,10,1890,South End
501474000,4274500,797.63,5439,Row_Middle,6436,4,6,5,1,2,4,R2,Y,RM,F,12,1900,Beacon Hill
400455000,4200000,0,4146,Row_Middle,4404,4,4,3,0,1,1,R1,Y,RM,M,12,1860,South End
501584000,3900000,887.17,4396,Row_Middle,5570,4,4,2,2,1,5,R1,Y,RM,G,10,1809,Beacon Hill
501533000,3877500,0,3849,Row_Middle,4748,4,4,3,1,1,2,R1,Y,RM,M,9,1900,Beacon Hill
501644000,3810000,858.3,4449,Row_Middle,6108,3,5,3,1,2,0,R1,Y,RM,G,11,1890,Beacon Hill
400265000,3699000,0,2702,Row_End,3564,3,3,3,1,1,3,R1,Y,RE,F,8,1890,South End
400132000,3533000,0,2611,Row_Middle,3400,3,4,3,3,1,2,R1,Y,RM,M,9,1890,South End
502457000,3300000,0,2406,Row_Middle,3245,3,3,2,0,1,5,R1,N,RM,F,9,1890,Beacon Hill
400129000,3299000,0,2611,Row_Middle,3394,3,4,4,1,1,1,R1,Y,RM,M,9,1900,South End
402848000,3220000,771.81,4172,Row_Middle,4648,4,5,4,0,2,2,R1,Y,RM,F,12,1860,South End
402491000,3185000,698.31,4561,Row_Middle,4869,4,5,3,1,2,1,R2,Y,RM,F,8,1860,South End
300131000,3150000,754.13,4177,Row_Middle,4688,4,5,3,1,2,5,R1,Y,RM,M,10,1880,Beacon Hill
402732000,3100000,871.28,3558,Row_Middle,4017,4,4,2,1,2,1,R2,Y,RM,M,8,1860,South End
502529000,3100000,0,1540,Row_End,3564,2,3,2,0,1,0,R1,N,RE,M,5,1899,Beacon Hill
